global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
14900,0.17008206,1.7801061,,,,,,,,,,,,,,,,,
15000,0.19130546,1.7821548,,,,,,,,,,,,,,,,,
15100,0.1724259,1.818272,,,,,,,,,,,,,,,,,
15200,0.16558895,1.7895963,,,,,,,,,,,,,,,,,
15300,0.16926363,1.76246,,,,,,,,,,,,,,,,,
15400,0.16621684,1.7808888,,,,,,,,,,,,,,,,,
15500,0.15220368,1.7150116,,,,,,,,,,,,,,,,,
15600,0.16309191,1.7569766,,,,,,,,,,,,,,,,,
15700,0.16252956,1.7389265,,,,,,,,,,,,,,,,,
15800,0.24701773,1.7429891,,,,,,,,,,,,,,,,,
15900,0.26817483,1.7732588,,,,,,,,,,,,,,,,,
16000,0.22607747,1.8216796,,,,,,,,,,,,,,,,,
16100,0.16257146,1.7262119,,,,,,,,,,,,,,,,,
16200,0.1647875,1.7214386,,,,,,,,,,,,,,,,,
16300,0.22368008,1.7412182,,,,,,,,,,,,,,,,,
16400,0.17039192,1.7405189,,,,,,,,,,,,,,,,,
16500,0.17154667,1.8105844,,,,,,,,,,,,,,,,,
16600,0.20945744,1.7767556,,,,,,,,,,,,,,,,,
16700,0.19765566,1.7407137,,,,,,,,,,,,,,,,,
16800,0.24793543,1.761325,,,,,,,,,,,,,,,,,
16900,0.18790191,1.782971,,,,,,,,,,,,,,,,,
17000,0.18095413,1.8064704,,,,,,,,,,,,,,,,,
17100,0.22498234,1.7673788,,,,,,,,,,,,,,,,,
17200,0.27064937,1.6963794,,,,,,,,,,,,,,,,,
17300,0.16744472,1.668968,,,,,,,,,,,,,,,,,
17400,0.17767796,1.7698176,,,,,,,,,,,,,,,,,
17500,0.19133624,1.8029629,,,,,,,,,,,,,,,,,
17600,0.17492658,1.859726,,,,,,,,,,,,,,,,,
17700,0.17523964,1.777784,,,,,,,,,,,,,,,,,
17800,0.23126456,1.7797121,,,,,,,,,,,,,,,,,
17900,0.19980033,1.7047266,,,,,,,,,,,,,,,,,
18000,0.1805139,1.684987,,,,,,,,,,,,,,,,,
18100,0.16728511,1.7866583,,,,,,,,,,,,,,,,,
18200,0.36864424,1.7999249,,,,,,,,,,,,,,,,,
18300,0.16468069,1.7118192,,,,,,,,,,,,,,,,,
18400,0.17232911,1.7527052,,,,,,,,,,,,,,,,,
18500,0.1639831,1.7253486,,,,,,,,,,,,,,,,,
18600,0.20155612,1.7338059,,,,,,,,,,,,,,,,,
18700,0.16822986,1.763834,,,,,,,,,,,,,,,,,
18800,0.2063021,1.8144829,,,,,,,,,,,,,,,,,
18900,0.24472176,1.84431,,,,,,,,,,,,,,,,,
19000,0.17042667,1.6679596,,,,,,,,,,,,,,,,,
19013,,,0.6533541083335876,1.6593599319458008,32.69789974987857,0.6682868003845215,1.5551337003707886,28.81331085335881,3000.0,0.6795421838760376,1.470381259918213,28.29711079963502,3003.0,2633.993463039398,5818.402090072632,2633.993463039398,3184.1246201992035,0.1373701095581054,0.0
19100,0.20280093,1.8081764,,,,,,,,,,,,,,,,,
19200,0.3045256,1.7032132,,,,,,,,,,,,,,,,,
19300,0.17610002,1.7830834,,,,,,,,,,,,,,,,,
19400,0.17489134,1.721653,,,,,,,,,,,,,,,,,
19500,0.17817892,1.716882,,,,,,,,,,,,,,,,,
19600,0.17044199,1.7070796,,,,,,,,,,,,,,,,,
19700,0.18271609,1.7543353,,,,,,,,,,,,,,,,,
