global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
14800,0.07431432,0.03148424,,,,,,,,,,,,,,,,,
14900,0.08681486,0.027659388,,,,,,,,,,,,,,,,,
15000,0.08694954,0.03144763,,,,,,,,,,,,,,,,,
15100,0.089721836,0.032505136,,,,,,,,,,,,,,,,,
15200,0.08455696,0.030515658,,,,,,,,,,,,,,,,,
15300,0.08759842,0.030976351,,,,,,,,,,,,,,,,,
15400,0.09690296,0.028214533,,,,,,,,,,,,,,,,,
15500,0.12480106,0.033377107,,,,,,,,,,,,,,,,,
15600,0.1062908,0.02756707,,,,,,,,,,,,,,,,,
15700,0.11927117,0.03155141,,,,,,,,,,,,,,,,,
15800,0.08036277,0.02647955,,,,,,,,,,,,,,,,,
15817,,,0.9914665222167968,0.0283957254141569,0.4411522638807293,0.9867609739303588,0.0445613153278827,0.2694201607621511,43793.0,0.98593670129776,0.0471740141510963,0.2623504723979853,43793.0,3186.760136842728,4236.103904485703,3186.760136842728,1048.8720543384552,0.354539155960083,0.0
15900,0.13052604,0.030212283,,,,,,,,,,,,,,,,,
16000,0.10769349,0.030498447,,,,,,,,,,,,,,,,,
16100,0.13611855,0.030847693,,,,,,,,,,,,,,,,,
16200,0.13550292,0.03074115,,,,,,,,,,,,,,,,,
16300,0.10877607,0.028963426,,,,,,,,,,,,,,,,,
16400,0.18851733,0.029160513,,,,,,,,,,,,,,,,,
16500,0.10104401,0.026093084,,,,,,,,,,,,,,,,,
16600,0.10947323,0.029199759,,,,,,,,,,,,,,,,,
16700,0.16174464,0.028298607,,,,,,,,,,,,,,,,,
16800,0.13471763,0.030265572,,,,,,,,,,,,,,,,,
16900,0.12724306,0.030297782,,,,,,,,,,,,,,,,,
17000,0.14899614,0.032883164,,,,,,,,,,,,,,,,,
17100,0.14395693,0.031153535,,,,,,,,,,,,,,,,,
17200,0.15369101,0.031079443,,,,,,,,,,,,,,,,,
17300,0.1549104,0.030853642,,,,,,,,,,,,,,,,,
17400,0.28060904,0.030239245,,,,,,,,,,,,,,,,,
17500,0.15231413,0.028833201,,,,,,,,,,,,,,,,,
17600,0.1671147,0.028230151,,,,,,,,,,,,,,,,,
17700,0.18370277,0.032383416,,,,,,,,,,,,,,,,,
17800,0.22939844,0.03401845,,,,,,,,,,,,,,,,,
17900,0.23882003,0.04995151,,,,,,,,,,,,,,,,,
18000,0.09922191,0.05368707,,,,,,,,,,,,,,,,,
18100,0.16273807,0.052055106,,,,,,,,,,,,,,,,,
18134,,,0.9914413094520568,0.0280560906976461,0.4552606011905566,0.986706554889679,0.0457926653325557,0.2611375839652518,43793.0,0.985850751399994,0.0487032830715179,0.2512890282649493,43793.0,3638.726204395294,4790.66565823555,3638.726204395294,1151.3992414474487,0.4056241512298584,0.0
18200,0.18230346,0.029255075,,,,,,,,,,,,,,,,,
18300,0.19915298,0.02871448,,,,,,,,,,,,,,,,,
18400,0.17083502,0.02728073,,,,,,,,,,,,,,,,,
18500,0.17911659,0.026446365,,,,,,,,,,,,,,,,,
18600,0.25168222,0.030214382,,,,,,,,,,,,,,,,,
18700,0.17640321,0.028831372,,,,,,,,,,,,,,,,,
18800,0.21678874,0.030965917,,,,,,,,,,,,,,,,,
18900,0.21494539,0.031428684,,,,,,,,,,,,,,,,,
19000,0.4199228,0.030116245,,,,,,,,,,,,,,,,,
19100,0.24679776,0.026596917,,,,,,,,,,,,,,,,,
19200,0.3041302,0.028214667,,,,,,,,,,,,,,,,,
19300,0.4486329,0.030135212,,,,,,,,,,,,,,,,,
19400,0.28064895,0.030681929,,,,,,,,,,,,,,,,,
19500,0.38912603,0.033088304,,,,,,,,,,,,,,,,,
19600,0.24510385,0.02873331,,,,,,,,,,,,,,,,,
19700,0.29362053,0.025916167,,,,,,,,,,,,,,,,,
19800,0.14860414,0.05530975,,,,,,,,,,,,,,,,,
19900,0.25822386,0.027658738,,,,,,,,,,,,,,,,,
20000,0.3547724,0.02856915,,,,,,,,,,,,,,,,,
20100,2.9256554,0.07701435,,,,,,,,,,,,,,,,,
20200,0.2872339,0.025275517,,,,,,,,,,,,,,,,,
20300,0.2862796,0.027950678,,,,,,,,,,,,,,,,,
20400,0.2927521,0.03145702,,,,,,,,,,,,,,,,,
20465,,,0.9919567704200744,0.0262467302381992,0.5022215260898732,0.9869387149810792,0.0448793359100818,0.2768434871508859,43793.0,0.9861552715301514,0.0476984828710556,0.2677650876387421,43793.0,4090.733491897583,5346.910586357117,4090.733491897583,1255.5663933753967,0.4585931301116943,0.0
20500,0.29816553,0.026518472,,,,,,,,,,,,,,,,,
20600,0.3108767,0.028155228,,,,,,,,,,,,,,,,,
20700,0.33409858,0.029183386,,,,,,,,,,,,,,,,,
20800,0.3575376,0.030939171,,,,,,,,,,,,,,,,,
20900,0.33560163,0.032678675,,,,,,,,,,,,,,,,,
21000,0.29357222,0.030742759,,,,,,,,,,,,,,,,,
21100,0.495947,0.031337492,,,,,,,,,,,,,,,,,
21200,0.6545998,0.034468945,,,,,,,,,,,,,,,,,
21300,0.37410665,0.027637102,,,,,,,,,,,,,,,,,
21400,0.3033029,0.025824348,,,,,,,,,,,,,,,,,
21500,0.47600886,0.03155217,,,,,,,,,,,,,,,,,
21600,0.42562705,0.030287676,,,,,,,,,,,,,,,,,
21700,0.4023403,0.032113813,,,,,,,,,,,,,,,,,
21800,0.4761205,0.029640066,,,,,,,,,,,,,,,,,
21900,0.39504656,0.028517613,,,,,,,,,,,,,,,,,
22000,0.4457988,0.029840248,,,,,,,,,,,,,,,,,
22100,0.48320395,0.029716332,,,,,,,,,,,,,,,,,
22200,0.39738238,0.03074285,,,,,,,,,,,,,,,,,
22300,0.37953332,0.029175034,,,,,,,,,,,,,,,,,
22400,0.43306363,0.029748961,,,,,,,,,,,,,,,,,
22500,0.3635314,0.030611528,,,,,,,,,,,,,,,,,
22600,0.4964676,0.030723495,,,,,,,,,,,,,,,,,
22700,0.48111024,0.029605644,,,,,,,,,,,,,,,,,
22766,,,0.991956889629364,0.0262788701802492,0.497417688566559,0.9868183732032776,0.0449199341237545,0.2758398011857395,43793.0,0.986103892326355,0.0475671924650669,0.2674055199902068,43793.0,4542.817062616348,5904.866853713989,4542.817062616348,1361.369234085083,0.511164665222168,0.0
22800,0.30218333,0.025287919,,,,,,,,,,,,,,,,,
22900,0.46927807,0.031121332,,,,,,,,,,,,,,,,,
23000,0.3918589,0.04038971,,,,,,,,,,,,,,,,,
23100,0.4613771,0.029759465,,,,,,,,,,,,,,,,,
23200,0.44847763,0.03459037,,,,,,,,,,,,,,,,,
23300,0.43719685,0.030439397,,,,,,,,,,,,,,,,,
23400,0.45496875,0.031022655,,,,,,,,,,,,,,,,,
23500,0.50980455,0.032711104,,,,,,,,,,,,,,,,,
23600,0.40728086,0.02830555,,,,,,,,,,,,,,,,,
23700,0.40735456,0.029482424,,,,,,,,,,,,,,,,,
23800,0.4000698,0.031940885,,,,,,,,,,,,,,,,,
23900,0.71164817,0.030370058,,,,,,,,,,,,,,,,,
24000,0.35067904,0.028131735,,,,,,,,,,,,,,,,,
24100,0.35278982,0.030398121,,,,,,,,,,,,,,,,,
24200,0.41551942,0.029288992,,,,,,,,,,,,,,,,,
24300,0.38007763,0.02993246,,,,,,,,,,,,,,,,,
24400,0.46073905,0.030945733,,,,,,,,,,,,,,,,,
24500,0.37046933,0.02937085,,,,,,,,,,,,,,,,,
24600,0.39968696,0.030493261,,,,,,,,,,,,,,,,,
24700,0.4829155,0.03198275,,,,,,,,,,,,,,,,,
24800,0.3801533,0.029984696,,,,,,,,,,,,,,,,,
24900,0.489,0.030620482,,,,,,,,,,,,,,,,,
