global_step,grad_norm,loss,train/loss,train/ppl,validation/loss,validation/ppl,validation/num_examples,test/loss,test/ppl,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
13900,0.19235413,3.4715543,,,,,,,,,,,,,,
14000,0.20288701,3.428826,,,,,,,,,,,,,,
14100,0.21052115,3.5476542,,,,,,,,,,,,,,
14200,0.18297127,3.4201725,,,,,,,,,,,,,,
14300,0.19502045,3.4759054,,,,,,,,,,,,,,
14400,0.20523147,3.3048024,,,,,,,,,,,,,,
14500,0.2191786,3.5768185,,,,,,,,,,,,,,
14600,0.19620647,3.4236417,,,,,,,,,,,,,,
14700,0.22583218,3.4727187,,,,,,,,,,,,,,
14800,0.19611797,3.321962,,,,,,,,,,,,,,
14900,0.20202148,3.4283109,,,,,,,,,,,,,,
15000,0.21335751,3.452919,,,,,,,,,,,,,,
15100,0.20177865,3.464142,,,,,,,,,,,,,,
15200,0.23209368,3.5561647,,,,,,,,,,,,,,
15300,0.20922941,3.5229278,,,,,,,,,,,,,,
15400,0.20244107,3.374191,,,,,,,,,,,,,,
15500,0.20560049,3.4335546,,,,,,,,,,,,,,
15600,0.2404055,3.5309317,,,,,,,,,,,,,,
15700,0.2074949,3.3890562,,,,,,,,,,,,,,
15800,0.20755915,3.3888688,,,,,,,,,,,,,,
15900,0.20589907,3.3851078,,,,,,,,,,,,,,
16000,0.20181017,3.4497442,,,,,,,,,,,,,,
16100,0.2150846,3.5287735,,,,,,,,,,,,,,
16200,0.21124011,3.4118674,,,,,,,,,,,,,,
16300,0.21882017,3.512158,,,,,,,,,,,,,,
16400,0.23176536,3.368313,,,,,,,,,,,,,,
16500,0.24097787,3.3874729,,,,,,,,,,,,,,
16600,0.22913909,3.449253,,,,,,,,,,,,,,
16700,0.22445403,3.452787,,,,,,,,,,,,,,
16800,0.22807556,3.3190336,,,,,,,,,,,,,,
16900,0.23452203,3.5102177,,,,,,,,,,,,,,
17000,0.27941576,3.3224616,,,,,,,,,,,,,,
17100,0.2061043,3.38909,,,,,,,,,,,,,,
17200,0.21785283,3.3394356,,,,,,,,,,,,,,
17300,0.22195357,3.4183016,,,,,,,,,,,,,,
17400,0.22867952,3.4341702,,,,,,,,,,,,,,
17500,0.23059142,3.344577,,,,,,,,,,,,,,
17600,0.21257696,3.4309304,,,,,,,,,,,,,,
17700,0.2378513,3.3738976,,,,,,,,,,,,,,
17800,0.21333621,3.4761653,,,,,,,,,,,,,,
17900,0.26932868,3.4522197,,,,,,,,,,,,,,
18000,0.23255287,3.4809537,,,,,,,,,,,,,,
18100,0.21812107,3.3358865,,,,,,,,,,,,,,
18200,0.22630888,3.2728846,,,,,,,,,,,,,,
18300,0.2474962,3.378916,,,,,,,,,,,,,,
18400,0.24696203,3.383853,,,,,,,,,,,,,,
18500,0.2597509,3.5680103,,,,,,,,,,,,,,
18600,0.2450434,3.2973623,,,,,,,,,,,,,,
18700,0.22949636,3.2552671,,,,,,,,,,,,,,
18800,0.2508355,3.5109081,,,,,,,,,,,,,,
18900,0.26769832,3.5287936,,,,,,,,,,,,,,
19000,0.2367528,3.403018,,,,,,,,,,,,,,
19100,0.24535671,3.3727672,,,,,,,,,,,,,,
19200,0.23942323,3.3352826,,,,,,,,,,,,,,
19300,0.25600225,3.4042811,,,,,,,,,,,,,,
19400,0.23200755,3.3624706,,,,,,,,,,,,,,
19500,0.23329031,3.4668932,,,,,,,,,,,,,,
19600,0.2635977,3.3559384,,,,,,,,,,,,,,
19700,0.2426339,3.3856854,,,,,,,,,,,,,,
19800,0.2507846,3.326436,,,,,,,,,,,,,,
19900,0.2559342,3.3851676,,,,,,,,,,,,,,
20000,0.25272414,3.4052644,,,,,,,,,,,,,,
20100,0.23263563,3.4248781,,,,,,,,,,,,,,
20200,0.4081834,3.4139957,,,,,,,,,,,,,,
20300,0.24947935,3.3563628,,,,,,,,,,,,,,
20400,0.25502703,3.3785279,,,,,,,,,,,,,,
20500,0.2554346,3.3581755,,,,,,,,,,,,,,
20600,0.2489317,3.4631114,,,,,,,,,,,,,,
20700,0.28726125,3.3930101,,,,,,,,,,,,,,
20800,0.24921653,3.336854,,,,,,,,,,,,,,
20900,0.2734357,3.2846684,,,,,,,,,,,,,,
21000,0.2759404,3.4536786,,,,,,,,,,,,,,
21100,0.24216022,3.4044113,,,,,,,,,,,,,,
21200,0.23031762,3.4064593,,,,,,,,,,,,,,
21300,0.28388992,3.2583663,,,,,,,,,,,,,,
21400,0.2590931,3.4319515,,,,,,,,,,,,,,
21500,0.24819891,3.4374933,,,,,,,,,,,,,,
21600,0.24591297,3.4408882,,,,,,,,,,,,,,
21700,0.316836,3.3791187,,,,,,,,,,,,,,
21800,0.24718103,3.2977023,,,,,,,,,,,,,,
21900,0.24609816,3.2352839,,,,,,,,,,,,,,
22000,0.26961312,3.4682064,,,,,,,,,,,,,,
22100,0.26377776,3.3720999,,,,,,,,,,,,,,
22200,0.23996872,3.2888656,,,,,,,,,,,,,,
22300,0.2659577,3.3043165,,,,,,,,,,,,,,
22400,0.25236875,3.3573055,,,,,,,,,,,,,,
22500,0.2674476,3.4314058,,,,,,,,,,,,,,
22600,0.31083825,3.366198,,,,,,,,,,,,,,
22619,,,3.2980175018310547,27.058941408839107,3.2983195781707764,27.06711650950671,100000.0,0.0,1.0,0.0,5167.248461961746,6162.37321639061,5167.248461961746,994.8727624416352,0.0969510078430175,0.0
22700,0.2521841,3.3850255,,,,,,,,,,,,,,
22800,0.25895253,3.290869,,,,,,,,,,,,,,
22900,0.29789305,3.379879,,,,,,,,,,,,,,
23000,0.2669119,3.3427358,,,,,,,,,,,,,,
23100,0.24037677,3.2694514,,,,,,,,,,,,,,
23200,0.26647875,3.5315342,,,,,,,,,,,,,,
23300,0.27007645,3.3872945,,,,,,,,,,,,,,
23400,0.24431051,3.304206,,,,,,,,,,,,,,
23500,0.27479818,3.3601263,,,,,,,,,,,,,,
23600,0.25260463,3.2522717,,,,,,,,,,,,,,
23700,0.25238833,3.36583,,,,,,,,,,,,,,
23800,0.27925524,3.3616881,,,,,,,,,,,,,,
23900,0.24985795,3.4035912,,,,,,,,,,,,,,
24000,0.2600921,3.4355218,,,,,,,,,,,,,,
24100,0.23935786,3.4162424,,,,,,,,,,,,,,
24200,0.24843441,3.2544844,,,,,,,,,,,,,,
24300,0.2931873,3.4493332,,,,,,,,,,,,,,
24400,0.25562465,3.3587947,,,,,,,,,,,,,,
24500,0.25998214,3.3379905,,,,,,,,,,,,,,
24600,0.37938717,3.3465312,,,,,,,,,,,,,,
24700,0.26632679,3.2963161,,,,,,,,,,,,,,
24800,0.25316426,3.2077348,,,,,,,,,,,,,,
24900,0.25252503,3.3539562,,,,,,,,,,,,,,
25000,0.2849156,3.3872898,,,,,,,,,,,,,,
25100,0.2789545,3.4601007,,,,,,,,,,,,,,
25200,0.26862964,3.3160648,,,,,,,,,,,,,,
25300,0.26750082,3.2195892,,,,,,,,,,,,,,
