global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
18200,1.7595422,2.8601923,,,,,,,,,,,,,,
18294,,,0.58931637,1.7798437,0.54024,2.0069861,50000.0,0.4248,2.654283,10000.0,10352.039994239807,10938.626103401184,10352.039994239807,585.974089384079,0.3732519149780273,0.0
18300,1.2671075,3.9640067,,,,,,,,,,,,,,
18400,2.3059301,3.1185133,,,,,,,,,,,,,,
18500,1.6884801,2.882679,,,,,,,,,,,,,,
18600,1.6351647,2.8705297,,,,,,,,,,,,,,
18700,1.410052,3.205449,,,,,,,,,,,,,,
18800,1.6351025,3.2020702,,,,,,,,,,,,,,
18900,1.1020737,5.3346367,,,,,,,,,,,,,,
19000,1.4475468,3.9036353,,,,,,,,,,,,,,
19100,1.6401746,3.08329,,,,,,,,,,,,,,
19200,1.3380278,4.3313565,,,,,,,,,,,,,,
19300,1.677372,2.7021196,,,,,,,,,,,,,,
19400,1.8187096,2.9190516,,,,,,,,,,,,,,
19500,1.592752,2.6906075,,,,,,,,,,,,,,
19600,1.4734124,5.2467794,,,,,,,,,,,,,,
19700,1.3218988,4.3291373,,,,,,,,,,,,,,
19800,1.6281816,3.0289838,,,,,,,,,,,,,,
19900,1.7530184,2.9179842,,,,,,,,,,,,,,
20000,1.6185985,3.045113,,,,,,,,,,,,,,
20100,1.2509692,4.8386416,,,,,,,,,,,,,,
20200,1.5693921,3.137105,,,,,,,,,,,,,,
20300,1.5293146,2.999503,,,,,,,,,,,,,,
20400,1.6650563,3.0861819,,,,,,,,,,,,,,
20500,1.7418519,3.4702468,,,,,,,,,,,,,,
20600,1.6519403,2.7625852,,,,,,,,,,,,,,
20700,1.4997314,3.6406045,,,,,,,,,,,,,,
20800,1.9933418,2.8033867,,,,,,,,,,,,,,
20900,1.173517,4.9828644,,,,,,,,,,,,,,
21000,1.619082,2.9427211,,,,,,,,,,,,,,
21100,1.5529321,2.7583203,,,,,,,,,,,,,,
21200,1.6921067,3.2376819,,,,,,,,,,,,,,
21300,1.8017615,2.575482,,,,,,,,,,,,,,
21400,1.6723682,2.5876892,,,,,,,,,,,,,,
21500,1.8968484,2.669752,,,,,,,,,,,,,,
21600,1.6485469,2.9863002,,,,,,,,,,,,,,
21700,1.2319517,4.768943,,,,,,,,,,,,,,
21800,1.830701,2.6869407,,,,,,,,,,,,,,
21900,1.7489249,2.682441,,,,,,,,,,,,,,
22000,1.3093256,4.1579475,,,,,,,,,,,,,,
22100,1.8154322,2.5843349,,,,,,,,,,,,,,
22200,1.8613837,2.6665883,,,,,,,,,,,,,,
22300,1.2582662,5.076623,,,,,,,,,,,,,,
22400,1.6541579,2.6004288,,,,,,,,,,,,,,
22443,,,0.6326367,1.5734272,0.57442,1.8191934,50000.0,0.45400003,2.472395,10000.0,12923.207360506058,13650.948907613754,12923.207360506058,727.0229074954987,0.4286444187164306,0.0
22500,1.2147201,4.688824,,,,,,,,,,,,,,
22600,1.6117663,2.9913914,,,,,,,,,,,,,,
22700,1.3488414,4.958102,,,,,,,,,,,,,,
22800,1.5241863,2.522881,,,,,,,,,,,,,,
22900,1.7393461,2.598594,,,,,,,,,,,,,,
23000,1.4606543,3.9227176,,,,,,,,,,,,,,
23100,1.7987554,2.8112533,,,,,,,,,,,,,,
23200,1.2898798,5.1710477,,,,,,,,,,,,,,
23300,1.8864464,2.5771787,,,,,,,,,,,,,,
23400,1.6685717,2.5602531,,,,,,,,,,,,,,
23500,1.7915037,2.6112196,,,,,,,,,,,,,,
23600,1.9598693,3.1707964,,,,,,,,,,,,,,
23700,1.972153,2.69142,,,,,,,,,,,,,,
23800,1.8750579,2.7613177,,,,,,,,,,,,,,
23900,1.6284771,2.4998717,,,,,,,,,,,,,,
24000,2.1307156,2.598997,,,,,,,,,,,,,,
24100,1.6929649,2.6636066,,,,,,,,,,,,,,
24200,1.7219495,2.5451434,,,,,,,,,,,,,,
24300,1.3774285,4.4164658,,,,,,,,,,,,,,
24400,1.9235846,2.5549073,,,,,,,,,,,,,,
24500,1.4926748,2.9472444,,,,,,,,,,,,,,
24600,1.474531,3.5237331,,,,,,,,,,,,,,
24700,1.586549,4.7732525,,,,,,,,,,,,,,
24800,1.9087486,2.8904548,,,,,,,,,,,,,,
24900,1.6446972,2.9445412,,,,,,,,,,,,,,
25000,1.9209061,2.539944,,,,,,,,,,,,,,
25100,2.1470408,2.8014922,,,,,,,,,,,,,,
25200,1.8675253,2.686981,,,,,,,,,,,,,,
25300,1.7934159,2.9519083,,,,,,,,,,,,,,
25400,1.6558902,2.4923995,,,,,,,,,,,,,,
25500,2.0358725,2.5624435,,,,,,,,,,,,,,
25600,1.776572,2.636333,,,,,,,,,,,,,,
