global_step,grad_norm,loss,train/loss,train/ppl,validation/loss,validation/ppl,validation/num_examples,test/loss,test/ppl,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
13500,0.19711098,3.4147027,,,,,,,,,,,,,,
13600,0.21118623,3.4617727,,,,,,,,,,,,,,
13700,0.20130797,3.468138,,,,,,,,,,,,,,
13800,0.20005083,3.3877113,,,,,,,,,,,,,,
13900,0.21989644,3.287848,,,,,,,,,,,,,,
14000,0.21289763,3.333484,,,,,,,,,,,,,,
14100,0.21149537,3.3423777,,,,,,,,,,,,,,
14200,0.22530074,3.3653975,,,,,,,,,,,,,,
14300,0.21620752,3.2503335,,,,,,,,,,,,,,
14400,0.20768806,3.3339536,,,,,,,,,,,,,,
14500,0.21143803,3.4313014,,,,,,,,,,,,,,
14600,0.20963567,3.4002047,,,,,,,,,,,,,,
14700,0.2337019,3.3383315,,,,,,,,,,,,,,
14800,0.21070974,3.4244423,,,,,,,,,,,,,,
14900,0.22436216,3.3842297,,,,,,,,,,,,,,
15000,0.21406542,3.4958353,,,,,,,,,,,,,,
15100,0.21477778,3.3992758,,,,,,,,,,,,,,
15200,0.22726142,3.409086,,,,,,,,,,,,,,
15300,0.22955449,3.3840513,,,,,,,,,,,,,,
15400,0.21140642,3.3579469,,,,,,,,,,,,,,
15500,0.22972384,3.4112537,,,,,,,,,,,,,,
15600,0.2501751,3.6074185,,,,,,,,,,,,,,
15700,0.22911431,3.4061747,,,,,,,,,,,,,,
15800,0.2414644,3.3456059,,,,,,,,,,,,,,
15900,0.23115072,3.3124964,,,,,,,,,,,,,,
16000,0.22453976,3.3519816,,,,,,,,,,,,,,
16100,0.23909032,3.3400393,,,,,,,,,,,,,,
16200,0.22596493,3.4143772,,,,,,,,,,,,,,
16300,0.23539068,3.2986755,,,,,,,,,,,,,,
16400,0.24282968,3.4669855,,,,,,,,,,,,,,
16500,0.22373608,3.2809968,,,,,,,,,,,,,,
16600,0.24014415,3.373972,,,,,,,,,,,,,,
16700,0.25284863,3.3575234,,,,,,,,,,,,,,
16800,0.23991314,3.3528347,,,,,,,,,,,,,,
16900,0.23623018,3.3252156,,,,,,,,,,,,,,
17000,0.25830856,3.3077283,,,,,,,,,,,,,,
17100,0.24769448,3.319071,,,,,,,,,,,,,,
17200,0.2361325,3.4190905,,,,,,,,,,,,,,
17300,0.24273467,3.3404377,,,,,,,,,,,,,,
17400,0.2391196,3.4334335,,,,,,,,,,,,,,
17500,0.2648998,3.1575975,,,,,,,,,,,,,,
17600,0.25471008,3.2609398,,,,,,,,,,,,,,
17700,0.25075758,3.1894257,,,,,,,,,,,,,,
17800,0.2934368,3.35865,,,,,,,,,,,,,,
17900,0.23657696,3.3130722,,,,,,,,,,,,,,
18000,0.24512808,3.3649688,,,,,,,,,,,,,,
18100,0.24926858,3.2192554,,,,,,,,,,,,,,
18200,0.24111925,3.30635,,,,,,,,,,,,,,
18300,0.23768833,3.2920773,,,,,,,,,,,,,,
18400,0.24420558,3.3456082,,,,,,,,,,,,,,
18500,0.24760996,3.3639069,,,,,,,,,,,,,,
18600,0.25924635,3.3206992,,,,,,,,,,,,,,
18700,0.23936874,3.2701392,,,,,,,,,,,,,,
18800,0.24621902,3.341905,,,,,,,,,,,,,,
18900,0.24641468,3.364619,,,,,,,,,,,,,,
19000,0.2565155,3.2114446,,,,,,,,,,,,,,
19100,0.26312137,3.2769222,,,,,,,,,,,,,,
19200,0.25210726,3.2346096,,,,,,,,,,,,,,
19300,0.25716472,3.347276,,,,,,,,,,,,,,
19400,0.25292304,3.3547678,,,,,,,,,,,,,,
19500,0.26661208,3.3032725,,,,,,,,,,,,,,
19600,0.25468358,3.3872712,,,,,,,,,,,,,,
19700,0.29376978,3.3669608,,,,,,,,,,,,,,
19800,0.25063986,3.2014081,,,,,,,,,,,,,,
19900,0.29299474,3.3102412,,,,,,,,,,,,,,
20000,0.2431388,3.3495295,,,,,,,,,,,,,,
20100,0.25777176,3.2808747,,,,,,,,,,,,,,
20200,0.25333425,3.3041933,,,,,,,,,,,,,,
20300,0.2837868,3.2720914,,,,,,,,,,,,,,
20400,0.26520896,3.3309326,,,,,,,,,,,,,,
20500,0.25841182,3.3432913,,,,,,,,,,,,,,
20600,0.26394933,3.2983282,,,,,,,,,,,,,,
20700,0.26169026,3.376537,,,,,,,,,,,,,,
20800,0.268808,3.191975,,,,,,,,,,,,,,
20900,0.25644016,3.2198331,,,,,,,,,,,,,,
21000,0.26688546,3.3198915,,,,,,,,,,,,,,
