global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
17300,1.6875668,4.9305506,,,,,,,,,,,,,,
17400,1.3604233,4.020339,,,,,,,,,,,,,,
17500,1.1647264,4.461767,,,,,,,,,,,,,,
17600,1.7498193,2.9917889,,,,,,,,,,,,,,
17700,1.5716434,2.8642256,,,,,,,,,,,,,,
17800,1.2716925,5.0368805,,,,,,,,,,,,,,
17900,1.3880607,2.765563,,,,,,,,,,,,,,
18000,1.1423358,4.229904,,,,,,,,,,,,,,
18100,1.3596125,3.7675476,,,,,,,,,,,,,,
18200,1.3269331,3.3318467,,,,,,,,,,,,,,
18300,1.6091594,3.9250817,,,,,,,,,,,,,,
18400,1.2261484,5.6152515,,,,,,,,,,,,,,
18500,1.7233584,2.855059,,,,,,,,,,,,,,
18600,1.1333114,5.611951,,,,,,,,,,,,,,
18700,1.3943847,3.1112525,,,,,,,,,,,,,,
18800,1.4770603,2.8504698,,,,,,,,,,,,,,
18900,1.5799319,2.9563794,,,,,,,,,,,,,,
19000,1.5983002,2.7298343,,,,,,,,,,,,,,
19100,1.6348916,2.7729692,,,,,,,,,,,,,,
19200,1.4359818,3.0815148,,,,,,,,,,,,,,
19300,1.3746588,4.8151493,,,,,,,,,,,,,,
19400,1.0496869,5.3333416,,,,,,,,,,,,,,
19500,1.6742194,3.005229,,,,,,,,,,,,,,
19600,1.5457927,3.370536,,,,,,,,,,,,,,
19700,2.0775838,2.7580626,,,,,,,,,,,,,,
19800,1.4865165,3.3586657,,,,,,,,,,,,,,
19900,1.9417919,2.8360233,,,,,,,,,,,,,,
20000,1.3480569,3.6752894,,,,,,,,,,,,,,
20100,1.9501349,2.7850375,,,,,,,,,,,,,,
20200,1.7440159,4.211157,,,,,,,,,,,,,,
20300,1.6650779,2.7743707,,,,,,,,,,,,,,
20400,1.2465217,4.539275,,,,,,,,,,,,,,
20500,1.5528246,2.599928,,,,,,,,,,,,,,
20600,1.8077598,2.74549,,,,,,,,,,,,,,
20700,1.1569524,4.633422,,,,,,,,,,,,,,
20800,1.1489993,5.369718,,,,,,,,,,,,,,
20900,2.1210096,2.7799509,,,,,,,,,,,,,,
21000,1.2559466,5.358633,,,,,,,,,,,,,,
21100,1.66894,2.8461123,,,,,,,,,,,,,,
21200,1.6415793,2.804557,,,,,,,,,,,,,,
21300,1.7749684,3.0695891,,,,,,,,,,,,,,
21400,1.6076897,3.375608,,,,,,,,,,,,,,
21500,1.7368978,2.7953906,,,,,,,,,,,,,,
21600,1.6586381,2.9285955,,,,,,,,,,,,,,
21700,1.4782867,3.0692325,,,,,,,,,,,,,,
21800,1.6798265,2.9645648,,,,,,,,,,,,,,
21900,1.7729474,2.8249445,,,,,,,,,,,,,,
22000,1.8250746,2.5964584,,,,,,,,,,,,,,
22050,,,0.6230078,1.6130979,0.56754,1.8663138,50000.0,0.4453,2.5231562,10000.0,10340.259860754011,10513.621139287949,10340.259860754011,172.65890645980835,0.4209413528442383,0.0
22100,1.8701445,2.7460065,,,,,,,,,,,,,,
22200,1.7180927,2.7785518,,,,,,,,,,,,,,
22300,1.8879918,2.6422508,,,,,,,,,,,,,,
22400,1.7345972,2.7737186,,,,,,,,,,,,,,
22500,1.6876122,3.3957276,,,,,,,,,,,,,,
22600,1.1710906,4.8635564,,,,,,,,,,,,,,
