global_step,grad_norm,loss,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
12200,0.1829,1.8375117,,,,,,,,,,,,,,,,,
12300,0.27992278,1.90125,,,,,,,,,,,,,,,,,
12400,0.16354604,1.8037834,,,,,,,,,,,,,,,,,
12500,0.16992849,1.8506722,,,,,,,,,,,,,,,,,
12600,0.15718402,1.830462,,,,,,,,,,,,,,,,,
12700,0.1590641,1.8794771,,,,,,,,,,,,,,,,,
12800,0.1683478,1.9264323,,,,,,,,,,,,,,,,,
12900,0.15456422,1.7990074,,,,,,,,,,,,,,,,,
13000,0.23135285,1.8193878,,,,,,,,,,,,,,,,,
13100,0.15471922,1.8481294,,,,,,,,,,,,,,,,,
13200,0.20796101,1.9290254,,,,,,,,,,,,,,,,,
13300,0.14877602,1.7373937,,,,,,,,,,,,,,,,,
13400,0.25828755,1.8773665,,,,,,,,,,,,,,,,,
13500,0.17882544,1.8047968,,,,,,,,,,,,,,,,,
13600,0.1506106,1.788692,,,,,,,,,,,,,,,,,
13700,0.16098565,1.7828652,,,,,,,,,,,,,,,,,
13800,0.17590585,1.858632,,,,,,,,,,,,,,,,,
13900,0.20505142,1.8495282,,,,,,,,,,,,,,,,,
14000,0.16970682,1.7342519,,,,,,,,,,,,,,,,,
14100,0.1546943,1.8242462,,,,,,,,,,,,,,,,,
14197,,,0.6486314535140991,1.69569194316864,31.97425610627841,0.6576111912727356,1.62321138381958,28.140835056014268,3000.0,0.6688745617866516,1.5469006299972534,27.36951435884364,3003.0,1990.4155604839325,4463.08204293251,1990.4155604839325,2472.415421009064,0.1417458057403564,0.0
14200,0.16080298,1.7136346,,,,,,,,,,,,,,,,,
14300,0.16342066,1.747436,,,,,,,,,,,,,,,,,
14400,0.160276,1.81018,,,,,,,,,,,,,,,,,
14500,0.17545652,1.7596074,,,,,,,,,,,,,,,,,
14600,0.2001559,1.9047816,,,,,,,,,,,,,,,,,
14700,0.15815188,1.79218,,,,,,,,,,,,,,,,,
14800,0.167852,1.7635704,,,,,,,,,,,,,,,,,
14900,0.2244256,1.8089322,,,,,,,,,,,,,,,,,
15000,0.18330319,1.698848,,,,,,,,,,,,,,,,,
15100,0.16732533,1.7645353,,,,,,,,,,,,,,,,,
15200,0.17385116,1.8058043,,,,,,,,,,,,,,,,,
15300,0.18060043,1.8426683,,,,,,,,,,,,,,,,,
15400,0.17880678,1.753329,,,,,,,,,,,,,,,,,
15500,0.16004317,1.7527984,,,,,,,,,,,,,,,,,
15600,0.19370936,1.7515298,,,,,,,,,,,,,,,,,
15700,0.17825842,1.7384577,,,,,,,,,,,,,,,,,
15800,0.16958076,1.7403597,,,,,,,,,,,,,,,,,
15900,0.2284712,1.8157772,,,,,,,,,,,,,,,,,
16000,0.15716755,1.813829,,,,,,,,,,,,,,,,,
16100,0.17348447,1.8041238,,,,,,,,,,,,,,,,,
16200,0.1750885,1.7431331,,,,,,,,,,,,,,,,,
16300,0.25581887,1.7039454,,,,,,,,,,,,,,,,,
16400,0.20199364,1.7093371,,,,,,,,,,,,,,,,,
16500,0.18620624,1.7337017,,,,,,,,,,,,,,,,,
16600,0.17059425,1.712019,,,,,,,,,,,,,,,,,
16700,0.16171832,1.7641277,,,,,,,,,,,,,,,,,
16800,0.20392752,1.7040445,,,,,,,,,,,,,,,,,
16900,0.1903117,1.8054956,,,,,,,,,,,,,,,,,
17000,0.16912712,1.776435,,,,,,,,,,,,,,,,,
17100,0.18348584,1.8820194,,,,,,,,,,,,,,,,,
17200,0.21578726,1.717273,,,,,,,,,,,,,,,,,
17300,0.17931138,1.7608334,,,,,,,,,,,,,,,,,
17400,0.18798648,1.666866,,,,,,,,,,,,,,,,,
17500,0.18601827,1.7184887,,,,,,,,,,,,,,,,,
17600,0.19514409,1.7437532,,,,,,,,,,,,,,,,,
17700,0.1962683,1.6935984,,,,,,,,,,,,,,,,,
17800,0.16904502,1.8333714,,,,,,,,,,,,,,,,,
17900,0.16302629,1.6995876,,,,,,,,,,,,,,,,,
18000,0.19520825,1.8070459,,,,,,,,,,,,,,,,,
18100,0.17907609,1.7988938,,,,,,,,,,,,,,,,,
18200,0.17576662,1.7964573,,,,,,,,,,,,,,,,,
18300,0.22271097,1.7376722,,,,,,,,,,,,,,,,,
18400,0.17575417,1.73813,,,,,,,,,,,,,,,,,
18500,0.18367308,1.7472185,,,,,,,,,,,,,,,,,
18600,0.18236816,1.7345965,,,,,,,,,,,,,,,,,
18700,0.1779845,1.7181044,,,,,,,,,,,,,,,,,
18800,0.19206822,1.7402366,,,,,,,,,,,,,,,,,
18900,0.20265324,1.7132949,,,,,,,,,,,,,,,,,
19000,0.2078884,1.7136486,,,,,,,,,,,,,,,,,
19082,,,0.6549976468086243,1.65265154838562,32.61308333101949,0.6665385365486145,1.560778021812439,28.74810897088985,3000.0,0.6792051792144775,1.4747203588485718,28.22815795169496,3003.0,2634.4153718948364,5658.364023685455,2634.4153718948364,3023.610468387604,0.1906666755676269,0.0
19100,0.22090192,1.6649572,,,,,,,,,,,,,,,,,
19200,0.16885284,1.693498,,,,,,,,,,,,,,,,,
19300,0.22596437,1.6903604,,,,,,,,,,,,,,,,,
19400,0.18877089,1.7144285,,,,,,,,,,,,,,,,,
19500,0.17820936,1.7170181,,,,,,,,,,,,,,,,,
19600,0.1878279,1.7545564,,,,,,,,,,,,,,,,,
19700,0.19894178,1.6842033,,,,,,,,,,,,,,,,,
19800,0.19931597,1.7719996,,,,,,,,,,,,,,,,,
19900,0.17927942,1.731017,,,,,,,,,,,,,,,,,
20000,0.17331348,1.6947273,,,,,,,,,,,,,,,,,
20100,0.18221118,1.6458167,,,,,,,,,,,,,,,,,
20200,0.21175317,1.7130313,,,,,,,,,,,,,,,,,
20300,0.17525508,1.8351358,,,,,,,,,,,,,,,,,
20400,0.17808577,1.850687,,,,,,,,,,,,,,,,,
20500,0.19709612,1.7568076,,,,,,,,,,,,,,,,,
20600,0.17628631,1.7269112,,,,,,,,,,,,,,,,,
20700,0.19190851,1.7627437,,,,,,,,,,,,,,,,,
20800,0.2434144,1.709096,,,,,,,,,,,,,,,,,
20900,0.1830558,1.6642433,,,,,,,,,,,,,,,,,
